,CellID,ClusterID,ClusterName,Region,Total_molecules,Valid,X,Y,_tSNE_1,_tSNE_2,size_pix,size_um2
214,4752,17,Inhibitory Crhbp,Layer 4,58,1,7428.325423429724,39071.72275973314,-80.24911499023438,-7.898064136505127,4385.0,18.526625
215,5804,17,Inhibitory Crhbp,Layer 2-3 medial,139,1,1040.1133891724858,44720.30621947749,-71.3503646850586,-2.6600353717803955,15506.0,65.51285000000001
216,5793,17,Inhibitory Crhbp,Layer 2-3 medial,106,1,1326.0262295165448,46286.74333922546,-73.5530776977539,-10.679461479187012,18737.0,79.16382499999999
218,2253,17,Inhibitory Crhbp,Layer 6,509,1,13874.817726618683,29543.249189186154,-84.65243530273438,1.4399161338806152,46959.0,198.40177500000001
219,1906,17,Inhibitory Crhbp,Layer 2-3 medial,343,1,12688.6474066697,37851.4484587343,-73.83687591552734,-6.054588794708252,43462.0,183.62695000000002
220,5057,17,Inhibitory Crhbp,Layer 5,380,1,4714.762544227677,35892.20087046788,-60.8242301940918,1.235866665840149,61136.0,258.29960000000005
221,2224,17,Inhibitory Crhbp,Layer 6,337,1,14593.220382723846,27587.777035125386,-78.43766021728516,-1.4780943393707275,31185.0,131.75662499999999
222,2208,17,Inhibitory Crhbp,Layer 5,490,1,15109.280482624676,29349.631847823097,-83.33618927001953,-4.134639739990234,43940.0,185.64649999999997
223,2282,17,Inhibitory Crhbp,Layer 6,265,1,13158.969421095153,28998.33188509649,-73.69062805175781,-4.043099403381348,43823.0,185.15217500000006
224,212,17,Inhibitory Crhbp,Layer 2-3 lateral,351,1,20369.15211165251,34804.89837168663,-82.81441497802734,-1.8698010444641113,40708.0,171.9913
225,4782,17,Inhibitory Crhbp,Layer 2-3 medial,169,1,6784.786157870662,43194.41943160081,-78.8280258178711,-4.26011323928833,15587.0,65.855075
228,2443,17,Inhibitory Crhbp,Layer 6,555,1,14728.68799896951,24068.61319199959,-79.38565826416016,-3.1219935417175293,59092.0,249.6637
230,634,17,Inhibitory Crhbp,Layer 4,398,1,19324.539955439606,29058.448830596884,-67.5641860961914,-5.701122760772705,57625.0,243.46562500000005
232,6422,17,Inhibitory Crhbp,Layer 6,384,1,1069.8601485258441,33922.787497368765,-78.804931640625,0.1165330559015274,24851.0,104.99547500000001
233,818,17,Inhibitory Crhbp,Layer 6,204,1,17110.01598592604,24259.6333211953,-76.35926055908203,-5.034831523895264,36981.0,156.244725
234,6182,17,Inhibitory Crhbp,Layer 6,143,1,1674.0305786022,35120.27653593371,-79.53160095214844,-3.8045661449432373,15024.0,63.476400000000005
235,5923,17,Inhibitory Crhbp,Layer 4,322,1,3115.2885997716003,38974.904516551935,-72.56847381591797,-11.101829528808594,23833.0,100.69442500000001
236,4032,17,Inhibitory Crhbp,Layer 6,342,1,11364.41763654538,27965.728482218517,-73.1095199584961,-5.200993061065674,34673.0,146.49342500000003
239,4893,17,Inhibitory Crhbp,Layer 4,395,1,8980.436556256887,36108.175797312746,-85.57405853271484,0.807810366153717,52897.0,223.489825
242,6172,17,Inhibitory Crhbp,Layer 6,327,1,1902.6551847855808,34609.05455064616,-81.03616333007812,-0.3101347088813782,26795.0,113.20887500000002
243,3707,17,Inhibitory Crhbp,Layer 4,202,1,9730.185858180175,38727.21064972244,-83.42985534667969,-1.794945240020752,18023.0,76.147175
244,5794,17,Inhibitory Crhbp,Layer 2-3 medial,497,1,1354.7419217934548,45180.4132239482,-75.20751190185547,-7.527017116546631,59208.0,250.15380000000002
246,3422,17,Inhibitory Crhbp,Layer 2-3 lateral,217,1,11387.632720818281,42008.15955935918,-83.6263656616211,-2.1580240726470947,31540.0,133.25650000000002
248,6369,17,Inhibitory Crhbp,Layer 6,500,1,2120.489772080553,31900.718655164867,-82.79147338867188,-2.3446218967437744,33376.0,141.0136
249,2467,17,Inhibitory Crhbp,Layer 6,58,1,14244.62199883608,25960.488491408738,-78.51889038085938,-5.946563720703125,5195.0,21.948875000000008
250,3948,17,Inhibitory Crhbp,Layer 6,265,1,13158.969421095153,28998.33188509649,-73.69062805175781,-4.043099403381348,43823.0,185.15217500000006
253,736,17,Inhibitory Crhbp,Layer 4,497,1,20224.88336878938,26274.323631234878,-67.26837158203125,-2.461500406265259,58992.0,249.24120000000008
254,301,17,Inhibitory Crhbp,Layer 2-3 lateral,345,1,17732.723506510854,35995.29617881618,-67.57561492919922,-3.534409761428833,40849.0,172.587025
255,5947,17,Inhibitory Crhbp,Layer 4,506,1,2593.3048988765877,39755.31290242758,-83.71993255615234,0.3756615221500397,36253.0,153.168925
256,842,17,Inhibitory Crhbp,Layer 6,352,1,20534.26574181853,19285.03298464616,-83.02664947509766,1.525443434715271,60361.0,255.025225
257,4166,17,Inhibitory Crhbp,Layer 6,272,1,13305.621244029642,25389.6561682863,-77.6200942993164,-6.401546478271484,44643.0,188.616675
259,5233,17,Inhibitory Crhbp,Layer 6,307,1,5814.46696579289,34178.48468065089,-74.24774169921875,-5.034577369689941,32509.0,137.350525
261,6067,17,Inhibitory Crhbp,Layer 5,331,1,4788.35527116973,35828.40669239273,-66.56804656982422,-0.2786296010017395,27129.0,114.620025
262,3745,17,Inhibitory Crhbp,Layer 4,395,1,8980.436556256887,36108.175797312746,-85.48522186279297,1.4230352640151978,52897.0,223.489825
263,3713,17,Inhibitory Crhbp,Layer 5,239,1,9642.068516488378,35246.28796775593,-76.95367431640625,-5.350335597991943,25191.0,106.431975
264,6315,17,Inhibitory Crhbp,Layer 6,320,1,3277.610637678452,34331.70532500572,-85.1019287109375,-2.1397082805633545,37664.0,159.1304
268,5112,17,Inhibitory Crhbp,Layer 5,165,1,8341.232929441976,33050.065725236,-82.6546401977539,0.4199713468551636,18552.0,78.3822
269,7632,17,Inhibitory Crhbp,Layer 6,384,1,1069.8601485258441,33922.787497368765,-78.804931640625,0.1165330559015274,24851.0,104.99547500000001
272,5136,17,Inhibitory Crhbp,Layer 6,431,1,7935.76874270197,31443.376721718123,-70.81249237060547,-5.0866804122924805,40319.0,170.34777499999998
273,3834,17,Inhibitory Crhbp,Layer 6,197,1,11461.886637504838,30994.454026054937,-72.393310546875,-5.701426982879639,26940.0,113.8215
274,5703,17,Inhibitory Crhbp,Layer 2-3 medial,148,1,3253.915887235624,43303.73317803648,-81.74300384521484,-3.468920946121216,15915.0,67.24087500000002
276,2472,17,Inhibitory Crhbp,Layer 6,124,1,14130.984756726912,25994.34183752339,-73.05879974365234,-3.1254453659057617,10957.0,46.29332500000001
278,2264,17,Inhibitory Crhbp,Layer 5,442,1,13660.410647252498,31179.96574447125,-85.63341522216797,-0.2285347431898117,58163.0,245.738675
281,2215,17,Inhibitory Crhbp,Layer 5,141,1,14918.927699603206,29172.677122031924,-80.99362182617188,-5.019443035125732,14911.0,62.99897500000001
283,706,17,Inhibitory Crhbp,Layer 5,512,1,17557.428758377682,28216.64425807509,-78.40966796875,-4.107315540313721,47678.0,201.43955000000003
284,621,17,Inhibitory Crhbp,Layer 4,619,1,19766.828356449296,28982.136541182423,-80.4765625,-0.6386678218841553,51006.0,215.50035
